"language"	"definition"	"uralex_mng"	"mng_item"	"lgid3"	"item"	"item_UPA"	"item_IPA"	"form_set"	"cogn_set"	"borr_source"	"borr_qual"	"etym_notes"	"ref_borr"	"glossing_notes"	"general_notes"	"ref_abbr"
"Nganasan"	"A generic verb with the meaning 'hunt'."	"hunt"	289	901	"kotədʹa"	"kotədʹa"	"kotədʲɑ"	7	"g"					"Cf. ""kotudʹa"" 'kill'"	"Deriv. from PSd *kåə- 'kill'"	"SlNgaRus"
"Tundra Nenets"	"A generic verb with the meaning 'hunt'."	"hunt"	289	902	"xanye°"			7	"g"							"JurSWb"
"Selkup"	"A generic verb with the meaning 'hunt'."	"hunt"	289	907	"sūrəməj-"	"sūrəməj-"	"suːrəməj- "	13	"m"							"SolkWb"
"Proto-Uralic*"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	0	"*näɣi ~ ?*nejδi"			2	"b"							"UEW, Sam88"
"South Saami"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	101	"nïejte"			2	"b"							"NSsNdb"
"Ume Saami"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	102	"näìda"			2	"b"							"WbWlap"
"Pite Saami"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	104	"niejdan ~ näjjtso ~ näjjda"			2	"b"							"EZ"
"North Saami"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	105	"nieida"			2	"b"							"SSSg"
"Inari Saami"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	106	"niei'da"			2	"b"							"InsSSk"
"Skolt Saami"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	107	"nijdd"			2	"b"							"SKosSk"
"Kildin Saami"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	108	"nījta"		"niːjta"	2	"b"							"WOLD"
"Standard Finnish"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	203	"tyttö"		"t̪yt̪ːø̞"	1	"a"	"Baltic"	"clear"		"SSA, EES"			"JL"
"Karelian Proper"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	204	"tyttö, tytär"			1	"a"	"Baltic"	"clear"		"SSA, EES"	"Latter 'daughter', in Northern Karelian also 'girl'"		"KKSV"
"Veps"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	207	"neičukaine, neižne"			2	"b"						"Derivs."	"NRVS"
"Ingrian"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	208	"tüttöĭ"	"tüttöĭ"	"tytːøĭ"	1	"a"	"Baltic"	"clear"		"SSA, EES"			"InkmSk"
"Western Votic"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	209	"tüttö"	"tüttö"	"tytːø"	1	"a"	"Baltic"	"clear"		"EES, SSA"			"VKJMS"
"Standard Estonian"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	210	"tütarlaps, tüdruk"		"tytːɑrlapːs, tytruk"	1	"a"	"Baltic"	"clear"		"EES, SSA"			"SVSk"
"Võro South Estonian"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	211	"tütrik, tütär'lats'"			1	"a"	"Baltic"	"clear"		"EES, SSA"			"VESr"
"Courland Livonian"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	212	"neìtst"			2	"b"							"LivWb"
"Erzya"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	301	"tʹejtʹeŕ, tʹejtʹeŕka"	"tʹejtʹeŕ, tʹejtʹeŕka"	"tʲejtʲerʲ, tʲejtʲerʲkɑ "	1	"a"	"Baltic"	"possible"		"EES"			"MordWb"
"Meadow Mari"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	401	"üδə̑r"	"üδə̑r"	"yðə̠r "	3	"c"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	501	"ni̮v"	"ni̮v"	"nɯv "	2	"b"					"'Daughter, girl'"		"SyrjWsch"
"Komi-Permyak"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	503	"ni̮v"	"ni̮v"	"nɯv "	2	"b"							"KoPRSl"
"Udmurt"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	504	"ni̮l"	"ni̮l"	"nɯl "	2	"b"					"'Daughter, girl'"		"WotjWsch"
"Hungarian"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	601	"leány, lány"		"lɛaːɲ, laːɲ"	4	"d"					"""Leány"" arch. form"		"FMSz"
"Sosva Mansi"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	701	"āɣi"	"āɣi"	"ɑːɣi "	6	"f"					"'Daughter, girl'"		"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	807	"ö̭ɣi"	"ö̭ɣi"	"ø̝ɣi "	6	"f"					"'Daughter, girl'"		"DEWbOstj"
"Nganasan"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	901	"kobtua"	"kobtua"	"kobtuɑ"	7	"g"					"'Daughter, girl'"		"SlNgaRus"
"Nganasan"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	901	"ni̮ ńuə"	"ni̮_ńuə"	"nɯ ɲuə"	2	"b"					"'Daughter, girl', lit. 'girl child'"		"SlNgaRus"
"Tundra Nenets"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	902	"pyíryibtya"			5	"e"							"JurSWb"
"Selkup"	"A generic noun for 'girl', i.e. a female human child."	"girl"	290	907	"netäŋ"	"netäŋ"	"netæŋ"	2	"b"						"Deriv. from ""ne"" 'woman'"	"SolkWb"
"Proto-Uralic*"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	0	"[Not reconstructable]"			"?"	"?"							"UEW, Sam88"
"South Saami"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	101	"nalhve"			14	"n"							"NSsNdb"
"Ume Saami"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	102	"niellee"			5	"e"							"WbWlap"
"Ume Saami"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	102	"nuhpòda, nuhpaga"			4	"d"							"WbWlap"
"Pite Saami"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	104	"[Form not found]"			"?"	"?"							"EZ"
"North Saami"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	105	"basttoheapme ~ bastteheapme"			3	"c"			"Comp.; first part from PFV *pise-tä-"				"SSSg"
"Inari Saami"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	106	"tulcce"			1	"o"	"Finnic"	"clear"		"SSA"			"InsSSk"
"Skolt Saami"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	107	"tåʹlcc"			1	"o"	"Finnic"	"clear"		"SSA"			"SKosSk"
"Kildin Saami"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	108	"mier’es’"		"mierʲesʲ"	6	"f"							"WOLD"
"Standard Finnish"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	203	"tylsä"		"t̪ylsæ"	1	"a"							"JL"
"Karelian Proper"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	204	"tylttšä ~ tšylttšä"			1	"a"							"KKSV"
"Veps"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	207	"tülʹts"			1	"a"							"VVS"
"Ingrian"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	208	"nürhi"	"nürhi"	"nyrhi"	2	"b"							"InkmSk"
"Western Votic"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	209	"nüri"	"nüri"	"nyri "	2	"b"							"VKJMS"
"Western Votic"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	209	"tülp̄ʹ"	"tülṕṕ"	"tylpʲpʲ"	13	"m"							"VKJMS"
"Standard Estonian"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	210	"nüri"		"nyri"	2	"b"							"SVSk"
"Võro South Estonian"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	211	"nühr"			2	"b"							"VESr"
"Courland Livonian"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	212	"tē̮l(d)za"			1	"a"							"LivWb"
"Erzya"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	301	"noška"	"noška"	"noʃkɑ"	2	"b"							"MordWb"
"Meadow Mari"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	401	"nüškö"	"nüškö"	"nyʃkø"	2	"b"							"SMSk, TscherWb"
"Meadow Mari"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	401	"tokmak"	"tokmak"	"tokmɑk"	11	"k"	"Tatar"	"clear"		"TscherWb"			"SMSk, TscherWb"
"Komi-Zyrian"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	501	"ni̮ž"	"ni̮ž"	"nɯʒ "	2	"b"							"SyrjWsch"
"Komi-Permyak"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	503	"ni̮ž"	"ni̮ž"	"nɯʒ"	2	"b"							"KoPRSl, RB"
"Udmurt"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	504	"ni̮ž"	"ni̮ž"	"nɯʒ "	2	"b"							"WotjWsch"
"Hungarian"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	601	"tompa"		"tompɒ"	7	"g"	"Slavic"	"clear"		"Kniezsa1974"			"FMSz"
"Sosva Mansi"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	701	"talʹəχ-sup"	"talʹəχ-sup"	"tɑʎəχ-sup"	8	"h"					"Comp.; lit. ""point-half"" (ie. 'lacking a [sharp] point')"		"WogWb"
"Vakh-Vasyugan Khanty"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	807	"pelləɣ, pellǝɣǝki"	"pelləɣ,  pelləɣəki"	"pelːəɣ,  pelːəɣəki"	9	"i"						"Derivs. from ""pel-"" 'stab'"	"DEWbOstj"
"Nganasan"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	901	"ti̮amə̄"	"ti̮amə̄"	"tɯɑməː"	15	"p"							"SlNgaRus"
"Tundra Nenets"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	902	"tin°xa"			10	"j"							"JurSWb"
"Selkup"	"A generic adjective with the meaning 'dull', i.e. not sharp."	"dull"	291	907	"qamələlʹ"	"qamələlʹ"	"qɑmələʎ "	12	"l"							"SolkWb"
"Proto-Uralic*"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	0	"*kupsa-"			2	"b"							"UEW, Sam88"
"South Saami"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	101	"jamhkelidh"			9	"i"						"Deriv. from ""jaemedh"" 'die'"	"NSsNdb"
"Ume Saami"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	102	"jaakstit, jaaksahtit"			4	"d"							"WbWlap"
"Pite Saami"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	104	"jákksat"			4	"d"							"EZ"
"North Saami"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	105	"čáskadit"			3	"c"							"SSSg"
"North Saami"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	105	"jáddadit"			4	"d"							"SSSg"
"Inari Saami"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	106	"časkadiđ"			3	"c"							"InsSSk"
"Skolt Saami"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	107	"čackkeed"			3	"c"							"SKosSk"
"Kildin Saami"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	108	"čuacckte"		"tʃuacːkte"	3	"c"							"WOLD"
"Standard Finnish"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	203	"sammuttaa"		"sɑmːut̪ːɑː"	1	"a"	"Indo-Iranian"	"possible"		"Holopainen2019, Parpola2010"			"JL"
"Karelian Proper"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	204	"sammuttoa"			1	"a"	"Indo-Iranian"	"possible"		"Holopainen2019, Parpola2010"			"KKSV"
"Veps"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	207	"sambutada"			1	"a"	"Indo-Iranian"	"possible"		"Holopainen2019, Parpola2010"			"VVS"
"Ingrian"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	208	"sammuttā"	"sammuttā"	"sɑmːutːɑː"	1	"a"	"Indo-Iranian"	"possible"		"Holopainen2019, Parpola2010"			"InkmSk"
"Western Votic"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	209	"sammutte̮ma"	"sammutte̮ma"	"sɑmːutːɤmɑ"	1	"a"	"Indo-Iranian"	"possible"		"Holopainen2019, Parpola2010"			"VKJMS"
"Standard Estonian"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	210	"kustutada"		"kustːutːɑtɑ"	2	"b"							"SVSk"
"Võro South Estonian"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	211	"kistutama"			2	"b"							"VESr"
"Courland Livonian"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	212	"kištànttə ~ küštànttə"			2	"b"							"LivWb"
"Erzya"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	301	"madstʹems"	"madstʹems"	"mɑsːtʲems "	5	"e"							"MordWb"
"Meadow Mari"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	401	"jörtem"	"jörtem"	"jørtem"	6	"f"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	501	"kuse̮dni̮"	"kuse̮dni̮"	"kusɤdnɯ"	2	"b"							"SyrjWsch"
"Komi-Permyak"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	503	"kuse̮tni̮"	"kuse̮tni̮"	"kusɤtnɯ "	2	"b"							"KoPRSl"
"Udmurt"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	504	"ki̮si̮ni̮"	"ki̮si̮ni̮"	"kɯsɯnɯ"	2	"b"							"WotjWsch"
"Hungarian"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	601	"elolt, kiolt"		"ɛlolt, kiolt"	8	"h"							"FMSz"
"Sosva Mansi"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	701	"χariɣti"	"χariɣti"	"χɑriɣti "	7	"g"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	807	"kowǝt-"	"kowət-"	"kowət-"	2	"b"							"DEWbOstj"
"Nganasan"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	901	"kəbtudʹa"	"kəbtudʹa"	"kəbtudʲɑ "	2	"b"							"SlNgaRus"
"Tundra Nenets"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	902	"xəbta-"			2	"b"							"JurSWb"
"Selkup"	"A generic verb with the meaning 'extinguish'."	"extinguish"	292	907	"qaptə-"	"qaptə-"	"qɑptə-"	2	"b"							"SolkWb"
"South Saami"	"A generic verb with the meaning 'mumble'."	"mumble"	293	101	"[Form not found]"			"?"	"?"							"NSsNdb"
"Ume Saami"	"A generic verb with the meaning 'mumble'."	"mumble"	293	102	"mùllardit"			6	"f"							"WbWlap"
"Pite Saami"	"A generic verb with the meaning 'mumble'."	"mumble"	293	104	"muldardit"			6	"f"							"EZ"
"North Saami"	"A generic verb with the meaning 'mumble'."	"mumble"	293	105	"cuhllat"			5	"e"							"SSSg"
"North Saami"	"A generic verb with the meaning 'mumble'."	"mumble"	293	105	"njálmmẹ siste hállat"			4	"d"					"Lit. 'speak inside (one's) mouth'"		"SSSg"
"Inari Saami"	"A generic verb with the meaning 'mumble'."	"mumble"	293	106	"muli(j)diđ"			6	"f"	"Finnic"	"possible"		"SSA"			"InsSSk"
"Skolt Saami"	"A generic verb with the meaning 'mumble'."	"mumble"	293	107	"muälted"			6	"f"	"Finnic"	"possible"		"SSA"			"SKosSk"
"Kildin Saami"	"A generic verb with the meaning 'mumble'."	"mumble"	293	108	"[Form not found]"			"?"	"?"							"WOLD"
"Standard Finnish"	"A generic verb with the meaning 'mumble'."	"mumble"	293	203	"mutista, mumista"		"mut̪ist̪ɑ, mumist̪ɑ"	1	"a"						"Similar descriptive forms"	"JL"
"Karelian Proper"	"A generic verb with the meaning 'mumble'."	"mumble"	293	204	"mummettoa"			1	"a"							"KKSV"
"Veps"	"A generic verb with the meaning 'mumble'."	"mumble"	293	207	"burbutada, murmutada"			2	"b"			"Cf. Rus ""bormotat'"""				"VVS"
"Ingrian"	"A generic verb with the meaning 'mumble'."	"mumble"	293	208	"[Form not found]"			"?"	"?"							"InkmSk"
"Western Votic"	"A generic verb with the meaning 'mumble'."	"mumble"	293	209	"bomize̮ma"	"bomize̮ma"	"bomizɤmɑ "	3	"c"							"VKJMS"
"Standard Estonian"	"A generic verb with the meaning 'mumble'."	"mumble"	293	210	"mõmiseda"		"mɣmisetɑ"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic verb with the meaning 'mumble'."	"mumble"	293	211	"pobisõma"			14	"n"							"VESr"
"Courland Livonian"	"A generic verb with the meaning 'mumble'."	"mumble"	293	212	"bumìkšə, buŕìkšə"			3	"c"						"Similar descriptive forms"	"LivWb"
"Erzya"	"A generic verb with the meaning 'mumble'."	"mumble"	293	301	"motkodʹems, motordoms"	"motkodʹems, motordoms"	"motkodʲems, motordoms "	7	"g"							"MordWb"
"Meadow Mari"	"A generic verb with the meaning 'mumble'."	"mumble"	293	401	"pə̑čə̑matem"	"pə̑čə̑matem"	"pə̠ʧə̠mɑtem"	9	"i"							"SMSk, TscherWb"
"Meadow Mari"	"A generic verb with the meaning 'mumble'."	"mumble"	293	401	"poŋgartə̑lem"	"poŋgartə̑lem"	"poŋgɑrtə̠lem "	8	"h"							"SMSk, TscherWb"
"Meadow Mari"	"A generic verb with the meaning 'mumble'."	"mumble"	293	401	"tetelem"	"tetelem"	"tetelem "	10	"j"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic verb with the meaning 'mumble'."	"mumble"	293	501	"[Form not found]"			"?"	"?"							"SyrjWsch"
"Komi-Permyak"	"A generic verb with the meaning 'mumble'."	"mumble"	293	503	"bobgi̮ni̮"	"bobgi̮ni̮"	"bobgɯnɯ "	15	"o"						"Descriptive form"	"KoPRSl"
"Udmurt"	"A generic verb with the meaning 'mumble'."	"mumble"	293	504	"[Form not found]"			"?"	"?"							"WotjWsch"
"Hungarian"	"A generic verb with the meaning 'mumble'."	"mumble"	293	601	"motyog"		"mocoɡ"	13	"m"							"FMSz"
"Sosva Mansi"	"A generic verb with the meaning 'mumble'."	"mumble"	293	701	"lomɣi"	"lomɣi"	"lomɣi"	11	"k"					"'Crackle (fire), mumble'"		"WogWb"
"Vakh-Vasyugan Khanty"	"A generic verb with the meaning 'mumble'."	"mumble"	293	807	"mŏḷǝɣ-"	"mŏḷəɣ-"	"mŏɭəɣ-"	12	"l"							"DEWbOstj"
"Nganasan"	"A generic verb with the meaning 'mumble'."	"mumble"	293	901	"[Form not found]"			"?"	"?"							"SlNgaRus"
"Tundra Nenets"	"A generic verb with the meaning 'mumble'."	"mumble"	293	902	"[Form not found]"			"?"	"?"							"JurSWb"
"Selkup"	"A generic verb with the meaning 'mumble'."	"mumble"	293	907	"[Form not found]"			"?"	"?"							"SolkWb"
"South Saami"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	101	"[Form not found]"			"?"	"?"							"NSsNdb"
"Ume Saami"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	102	"[Form not found]"			"?"	"?"							"WbWlap"
"Pite Saami"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	104	"[Form not found]"			"?"	"?"							"EZ"
"North Saami"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	105	"[Form not found]"			"?"	"?"							"SSSg"
"Inari Saami"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	106	"[Form not found]"			"?"	"?"							"InsSSk"
"Skolt Saami"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	107	"[Form not found]"			"?"	"?"							"SKosSk"
"Kildin Saami"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	108	"āhkev"		"aːhkev"	2	"b"							"WOLD"
"Standard Finnish"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	203	"[No equivalent]"			0	0							"JL"
"Karelian Proper"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	204	"[Form not found]"			"?"	"?"							"KKSV"
"Veps"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	207	"[No equivalent]"			0	0						"Cf. ""vunuk"" 'grandchild'"	"VVS"
"Ingrian"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	208	"[Form not found]"			"?"	"?"							"InkmSk"
"Western Votic"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	209	"[Form not found]"			"?"	"?"							"VKJMS"
"Standard Estonian"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	210	"[Form not found]"			"?"	"?"							"SVSk"
"Võro South Estonian"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	211	"[Form not found]"			"?"	"?"							"VESr"
"Courland Livonian"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	212	"[Form not found]"			"?"	"?"							"LivWb"
"Erzya"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	301	"[Form not found]"			"?"	"?"							"MordWb"
"Meadow Mari"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	401	"[Form not found]"			"?"	"?"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	501	"[Form not found]"			"?"	"?"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	503	"nuk"	"nuk"	"nuk "	3	"c"	"Russian"	"clear"		"Rogov1869"			"KoPRSl"
"Udmurt"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	504	"[Form not found]"			"?"	"?"							"WotjWsch"
"Hungarian"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	601	"fiúunoka"		"fiʲuːunokɒ"	3	"a"					"Lit. 'son-grandchild'"		"FMSz"
"Sosva Mansi"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	701	"[Form not found]"			"?"	"?"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	807	"[Form not found]"			"?"	"?"							"DEWbOstj"
"Nganasan"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	901	"ńuədʹə ńuə"	"ńuədʹə_ńuə"	"ɲuədʲə ɲuə"	1	"d"					"'Grandchild, grandson'; ""ńuə"" 'child'"		"SlNgaRus"
"Tundra Nenets"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	902	"[Form not found]"			"?"	"?"							"JurSWb"
"Selkup"	"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent."	"grandson"	294	907	"[Form not found]"			"?"	"?"							"SolkWb"
"Proto-Uralic*"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	0	"[Not reconstructable]"			"?"	"?"							"UEW, Sam88"
"South Saami"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	101	"åenehks"			2	"b"							"NSsNdb"
"Ume Saami"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	102	"å̀dˈnee, åånèhkis"			2	"b"						"Latter deriv."	"WbWlap"
"Pite Saami"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	104	"ådne, ånegis"			2	"b"						"Latter deriv."	"EZ"
"North Saami"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	105	"oanehaš"			2	"b"							"SSSg"
"Inari Saami"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	106	"oanih ~ oanee, oa'nihaž"			2	"b"							"InsSSk"
"Skolt Saami"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	107	"vuäʹniǩ"			2	"b"							"SKosSk"
"Kildin Saami"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	108	"oan’xes’"		"ɒːnʲxesʲ"	2	"b"							"WOLD"
"Standard Finnish"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	203	"lyhyt"		"lyɦyt̪"	1	"a"	"Baltic"	"possible"		"Junttila2015, SSA, EES"			"JL"
"Karelian Proper"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	204	"lyhyt, lyhykkäine ~ lytšykkäine"			1	"a"	"Baltic"	"possible"		"Junttila2015, SSA, EES"		"Latter deriv."	"KKSV"
"Veps"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	207	"lyhyd"			1	"a"	"Baltic"	"possible"		"Junttila2015, SSA, EES"			"VVS"
"Ingrian"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	208	"lühüᴅ"	"lühüᴅ"	"lyhyd̥"	1	"a"	"Baltic"	"possible"		"Junttila2015, SSA, EES"			"InkmSk"
"Ingrian"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	208	"maᴅalain, maᴅalaiskuin"	"maᴅalain, maᴅalaiskuin"	"mɑd̥ɑlɑin, mɑd̥ɑlɑiskuin"	11	"k"					"'Short, low, small'"		"InkmSk"
"Western Votic"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	209	"lühüᴅ"	"lühüᴅ"	"lyhyd̥"	1	"a"	"Baltic"	"possible"		"Junttila2015, SSA, EES"			"VKJMS"
"Standard Estonian"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	210	"lühike"		"lyhikːe"	1	"a"	"Baltic"	"possible"		"Junttila2015, SSA, EES"			"SVSk"
"Võro South Estonian"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	211	"lüh(ü)kene, lühüq ~ lühüt"			1	"a"	"Baltic"	"possible"		"Junttila2015, SSA, EES"			"VESr"
"Courland Livonian"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	212	"līt"			1	"a"	"Baltic"	"possible"		"Junttila2015, SSA, EES"			"LivWb"
"Erzya"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	301	"nuŕka, nuŕkińe"	"nuŕka, nuŕkińe"	"nurʲkɑ, nurʲkiɲe"	3	"c"							"MordWb"
"Meadow Mari"	"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'."	"short"	295	401	"küčə̑k"	"küčə̑k"	"kyʧə̠k"	4	"d"	"Chuvash"	"clear"		"TscherWb"			"SMSk, TscherWb"
